manufacturer_slice,match
shalina healthcare ltd,"['shalina healthcare ltd', 'shalina healthcare', 'shalina healtcare', 'skant healthcare ltd', 'sakar healthcare ltd']"
pi industries ltd,"['pi industries ltd', 'pi industies ltd', 'pt industries ltd', 'p1 industries ltd', 'ip industries ltd']"
kitale industries,"['kitale industries', 'kitale indusries', 'kitale industrues', 'kitale industriez', 'kitale induatries']"
avivet agro,"['avivet agro', 'avivets  agro', 'avivet agro sol', 'avivet agro ltd', 'vet agro']"
local manufacturer,"['local manufacturer', 'local manufacturers', 'local manufaturer', 'local manufacture', 'excel manufacturers']"
sigma limited,"['sigma limited', 'sidai limited', 'daima limited', 'gal limited', 'sigma ltd']"
bestvet agrosolution ltd,"['bestvet agrosolution ltd', 'avivet agrosolutions l.t.d']"
crown chemicals,"['crown chemicals', 'crownchemicals', 'canon chemicals', 'abcon chemicals', 'dow chemicals']"
pl lndustries ltd,"['pl lndustries ltd', 'pt industries ltd', 'pi industries ltd', 'p1 industries ltd', 'ip industries ltd']"
africasia seeds,"['africasia seeds', 'africasia seed', 'aficasia seeds', 'afrcassia seeds', 'aficasia seed']"
manji foods,"['manji foods', 'manji foods ltd']"
pioneer  feeds,"['pioneer  feeds', 'pioneerfeeds', 'pioneer feed', 'pioneer seeds']"
east africa,"['east africa', 'east african', 'east  africa', 'eat africa', 'eastafrica']"
buyline industries ltd,"['buyline industries ltd', 'bayline industries ltd', 'buyline industries', 'buyline. industries', 'fineline industries ltd']"
bell chemical ltd,"['bell chemical ltd', 'bella chemical ltd', 'bell chemcal ltd', 'elys chemical ltd', 'excel chemical ltd']"
concfeed international ltd,"['concfeed international ltd', 'concfeed lnternational ltd', 'concfeed international limited', 'concfeed international', 'conc feed international']"
dera chemical,"['dera chemical', 'dera chemicalz', 'dera chemicals', 'dera chemcal', 'dera  chemicals']"
pt industries ltd,"['pt industries ltd', 'pi industries ltd', 'p1 industries ltd', 'ip industries ltd', 'pi industies ltd']"
yala east africa,"['yala east africa', 'yara east africa', 'syova east africa', 'ariel east africa', 'gedalyah east africa']"
lachlan ltd,"['lachlan ltd', 'lanchlan ltd', 'lachlon ltd', 'laklan ltd', 'dacha ltd']"
ram feed ltd,"['ram feed ltd', 'ram feeds co.ltd', 'dora feeds ltd', 'bora feeds ltd', 'royal feeds ltd']"
cibus animal,"['cibus animal', 'cibus animal ltd']"
syngenta east,"['syngenta east', 'sygenta ea', 'syngenta ltd']"
westernseed company,"['westernseed company', 'western seed compan', 'western seeds  company', 'western seed conpany', 'western seed cpny']"
agro chemical ltd,"['agro chemical ltd', 'agrochemical ltd', 'arom chemical ltd', 'agrochemicals ltd', 'aroms chemical ltd']"
western seed compan,"['western seed compan', 'westernseed company', 'western seeds  company', 'western seed conpany', 'western seed comp.']"
inter agro ltd,"['inter agro ltd', 'inter-agro ltd', 'intergro ltd', 'inter agrovet ltd', 'inter agro limited']"
insecta ltd,"['insecta ltd', 'intas ltd']"
inter-agro ltd,"['inter-agro ltd', 'inter agro ltd', 'intergro ltd', 'inter agrovet ltd', 'inter-agro']"
oak  medical,"['oak  medical', 'oak medicals', 'oak medica', 'ork medical', 'oark medica']"
"faida feeds,","['faida feeds,', 'faida feeds', 'faida feed', 'faida feeders', 'faida seeds']"
pwani feeds,"['pwani feeds', 'awasi feeds', 'win feeds', 'tai feeds', 'sai feeds']"
concepts(africa) limited,"['concepts(africa) limited', 'concept(africa)ltd', 'concepts africa ltd', 'oct africa limited', 'concept africa ltd']"
medlink (k) ltd.,"['medlink (k) ltd.', 'medina k ltd.']"
cri kenya ltd,"['cri kenya ltd', 'tci kenya ltd', 'kenya ltd', 'tci kenya limited', 'organic kenya ltd']"
mazao chemical ltd,"['mazao chemical ltd', 'arom chemical ltd', 'agro chemical ltd', 'mazaok chemical', 'mazao chemicals']"
elgon kenya,"['elgon kenya', 'elcon kenya', 'egocin kenya', 'delmonte kenya']"
tata chemical,"['tata chemical', 'tata chemicals', 'tata  chemical', 'tatachemicals', 'tatami chemicals']"
atlas life,"['atlas life', 'atlantis life', 'antlantis life', 'atlantislife']"
medisel ltd,"['medisel ltd', 'medisel.ltd', 'medispec ltd', 'distell ltd', 'medex ltd']"
nairobi industries ltd,"['nairobi industries ltd', 'nairobi industries', 'tarko industries ltd', 'kenafric industries ltd', 'sukari industries ltd']"
excel chemical ltd,"['excel chemical ltd', 'excel chemicals limited', 'excel chemical', 'excel chem ltd', 'elys chemical ltd']"
arom chemicals ltd,"['arom chemicals ltd', 'aroms chemicals ltd', 'arom chemical ltd', 'aroms chemical ltd', 'agrochemicals ltd']"
lntracin pharmacuticals ltd,"['lntracin pharmacuticals ltd', 'intracin phamaceuticall ltd', 'lincolin pharmaceuticals ltd', 'nandini pharmacuticals ltd', 'lenana pharmaceuticals ltd']"
biopharma limited,"['biopharma limited', 'biopharma ltd', 'bal pharma limited', 'biopharmal ltd', 'biopharma ltd.']"
delta chemical ltd,"['delta chemical ltd', 'dera chemical ltd', 'deral chemical ltd', 'dera chemical. ltd', 'bella chemical ltd']"
chongqing fangong,"['chongqing fangong', 'chongqing fangtong', 'congqing fangtong', 'chongqing fantong', 'chongging fangtong']"
barasam supplies ltd.,"['barasam supplies ltd.', 'barasam supplies.', 'barasam supplies', 'barsam supplies']"
p1 industries ltd,"['p1 industries ltd', 'pt industries ltd', 'pi industries ltd', 'ip industries ltd', 'pi industies ltd']"
falcon agrochemicals,"['falcon agrochemicals', 'falcons agrochemicals', 'falcon agro chemicals', 'fusal agrochemicals', 'farmlord agrochemicals']"
western seed,"['western seed', 'western seeed', 'western seeds', 'western seedd', 'western  seed']"
continental gas,"['continental gas', 'continental', 'continental seed', 'continental seeds', 'continetal']"
sidai limited,"['sidai limited', 'sigma limited', 'india limited', 'dairy limited', 'daina limited']"
tarajio industries ltd,"['tarajio industries ltd', 'tarko industries ltd', 'kartasi industries ltd', 'grain industries ltd', 'kartasi industriies ltd']"
sidai africa,"['sidai africa', 'sidai afica', 'sida africa', 'zidai africa', 'sidai sfrica']"
aroms limited,"['aroms limited', ""arom's limited"", 'agro limited', 'keapros limited', 'lagos limited']"
mola plus,"['mola plus', 'molaplus', 'mollaplus', 'molarplus']"
pharma lifescience ltd,"['pharma lifescience ltd', 'saga lifescience ltd', 'saga lifesciences ltd', 'pharma life ltd']"
nor brook,"['nor brook', 'norbrook', 'noorbrook', 'norbrok', 'norbook']"
oak medicals,"['oak medicals', 'oak  medical', 'oak medics', 'oak medica', 'ork medical']"
dumu anima,['dumu anima']
orion east,"['orion east', 'orion e.a']"
agro solutions,"['agro solutions', 'agroz solutions', 'agro solution', 'agro- solution', 'agrosolution']"
hy breed,['hy breed']
diamond industries ltd,"['diamond industries ltd', 'diamond industries', 'darfords industries ltd', 'divine industries ltd', 'darfords industries lmtd']"
silmart investments limited,"['silmart investments limited', 'sulmart ivestments limited', 'silmart investments ltd', 'silmart investment ltd', 'lacata investment limited']"
dips limited,"['dips limited', 'dinlas limited', 'np limited', 'india limited', 'dairy limited']"
lumin chemical co..ltd,"['lumin chemical co..ltd', 'sumitomo chemical co.ltd', 'king chemical co.lltd,']"
aroms chemical industriesa,"['aroms chemical industriesa', 'aroms chemicals industries', ""arom's chemical industries"", 'arom chemical industriesar', 'arom chemical industries']"
malvi enterprise ltd,"['malvi enterprise ltd', 'umiraj enterprise ltd', 'arikel enterprise ltd', 'allure enterprise ltd', 'galvamesh enterprise ltd']"
hernaba industries ltd,"['hernaba industries ltd', 'heranba industries. ltd', 'heranda industries ltd', 'heranba industried ltd', 'heranba industrial ltd']"
bremer pharma germany,"['bremer pharma germany', 'vet pharma germany', 'bremer pharma gmbh']"
a shish,"['a shish', 'ashish', 'ashishi', 'ashish.', 'aishish']"
organix limited,"['organix limited', 'animix limited', 'animex limited', 'animax limited', 'aminix limited']"
coromadel international ltd,"['coromadel international ltd', 'coromandel international ltd', 'coromandel intenational ltd', 'coromandel lnternational ltd', 'coromandal international ltd']"
nerix phama,"['nerix phama', 'nerix pharm', 'norix pharma', 'nevix pharma', 'nelix pharma']"
bukola chemical industry,"['bukola chemical industry', 'nova chemical industry', 'mut chemical industry', 'dena chemical industry', 'arom chemical industry']"
kapi industries,"['kapi industries', 'kaps industries', 'pi industries', 'wika industries', 'rkay industries']"
trust chemical ltd,"['trust chemical ltd', 'itrust chemicald', 'trust chemical', 'trust chemicals(u)ltd', 'trust chemicals u']"
kenya biologicals,"['kenya biologicals', 'kenya biologies', 'kenya bioligics', 'ventryls biologicals', 'ventri biologicals']"
edge chemical,"['edge chemical', 'eagle chemicals', 'fedo chemical', 'exel chemical', 'dera chemical']"
wilux chemicals ltd.,"['wilux chemicals ltd.', 'wilux chemical', 'jilas chemicals ltd', 'jowamu chemicals ltd']"
ultravetis tanzania limited,"['ultravetis tanzania limited', 'ultravetis tanzania ltd', 'ultravetis tanzania ltd.', 'ultravetis  tanzania ltd', 'ultravets uganda limited']"
interagro k limited,"['interagro k limited', 'inter agro limited']"
afrego kenya ltd,"['afrego kenya ltd', 'afrego kenya limited']"
animal health,"['animal health', 'msd animal health', 'qilu animal health', 'made animal health', 'bupo animal health']"
india limited,"['india limited', 'sidai limited', 'maina limited', 'daina limited', 'daima limited']"
heranda industries ltd,"['heranda industries ltd', 'heranba industries. ltd', 'hernaba industries ltd', 'heranba industried ltd', 'haranba industries ltd']"
anspa e.,"['anspa e.', 'anspa e']"
indofil industries ltd,"['indofil industries ltd', 'indofil industries', 'pidilite industries ltd', 'pi industries ltd', 'ip industries ltd']"
west kenya,"['west kenya', 'waste kenya', 'nestle kenya', 'metz kenya']"
vetmed africa,"['vetmed africa', 'vmd africa', 'vetmed africa ltd']"
simba manufacturer,"['simba manufacturer', 'sidai manufacturer', 'big bag manufacturers']"
chico crop,['chico crop']
agrochemicals ltd,"['agrochemicals ltd', 'agro-chemicals ltd', 'agrochemical ltd', 'agro chemical ltd', 'arom chemicals ltd']"
bharat bio,['bharat bio']
details chemicals industries,"['details chemicals industries', 'elys chemicals industries', 'elys chemical industries', 'ely chemical industries', 'excel chemicals industries']"
elner agri ventures,"['elner agri ventures', 'general ventures']"
truvet techno system,"['truvet techno system', 'truvets technology system']"
safaris seed limited,"['safaris seed limited', 'safari seeds limitedsaf', 'farm feed limited']"
sidai sfrica,"['sidai sfrica', 'sidai africa', 'sidai afica', 'sida africa', 'zidai africa']"
r.h. devani,"['r.h. devani', 'rh. devani', 'r.h.devani', 'r.h devani', 'rh devani']"
pharma vet,"['pharma vet', 'pharmavet', 'phrarmavet', 'phamavet', 'pharma ltd']"
bio pharma ltd.,"['bio pharma ltd.', 'biopharma ltd.', 'bio pharma ltd', 'biopharma ltd', 'biopharmal ltd']"
nova industry ldt,"['nova industry ldt', 'nova industry', 'nova inds ltd']"
sidai manufacturer,"['sidai manufacturer', 'simba manufacturer', 'deri manufacturers']"
murvets kenya limited,"['murvets kenya limited', 'smartvet kenya limited', 'unifert kenya limited']"
