id,word_freq,match,average_length,cluster_name
0,"[('local', 15), ('localy', 2), ('lcal', 1), ('loal', 1), ('locl', 1), ('', 1), ('manufacture', 1), ('supplier', 1), ('nairobi', 1), ('manufacturer', 1), ('artisan', 1), ('juakali', 1), ('loca', 1), ('locali', 1), ('providers', 1), ('seller', 1), ('made', 1), ('local.', 1), ('industries', 1), ('manufactur', 1), ('any', 1), ('carpenters', 1), ('locals', 1), ('ltd.', 1)]","['local', 'localy', 'locals', 'locali', 'local.', 'local,', 'locl', 'loca', 'loal', 'lcal']",2.0,local localy
1,"[('fugo', 8), ('fug', 1), ('company', 1), ('fuo', 1), ('feeds', 1), ('ltd', 1), ('fungo', 1), ('vits', 1), ('unga', 1), ('feed', 1), ('vit', 1)]","['fugo', 'fungo', 'fuo', 'fug']",2.0,fugo fug
2,"[('mukurwe', 1), ('ini', 1), ('dairy', 1)]",['mukurwe-ini'],2.0,mukurwe ini
3,"[('xxxx', 1), ('xxx', 1)]","['xxxx', 'xxx']",1.0,xxxx
4,"[('g&g', 1)]",['g&g'],1.0,g&g
5,"[('rainbow', 11), ('agro', 3), ('rain', 2), ('bow', 2), ('agrochemicals', 1), ('agri', 1), ('pharm', 1), ('biosciences', 1), ('raibow', 1), ('rainvow', 1), ('rianbow', 1), ('ltd', 1), ('rainboe', 1), ('chemical', 1), ('chemicals', 1), ('agricare', 1), ('science', 1), ('rainbaw', 1), ('rainbows', 1), ('s', 1)]","['rainbow', 'rainbows', 'rain bow', 'raibow', 'rianbow', 'rainvow', 'rainboe', 'rainbaw']",2.0,rainbow agro
6,"[('ttt', 1), ('tttt', 1)]","['ttt', 'tttt']",1.0,ttt
7,"[('osho', 9), ('ferrox', 1), ('industry', 1), ('ltd', 1), ('limited', 1), ('company', 1), ('chemical', 1), ('chemicals', 1), ('chemical.', 1)]",['osho'],2.0,osho ferrox
8,"[('chloride', 4), ('exide', 1), ('oxide', 1), ('ltd', 1)]",['chloride'],2.0,chloride exide
9,"[('general', 10), ('bovtans', 5), ('merchants', 4), ('merchant', 3), ('bovtan', 2), ('bovitans', 2), ('bovitan', 2), ('mechart', 1), ('marchants', 1), ('minerals', 1), ('geeral', 1), ('mechants', 1)]","['bovtans general', 'bovitans general', 'bovtans geeral', 'bovtan general', 'bovitan general']",3.0,general bovtans merchants
10,"[('ruiru', 6), ('ltd', 1), ('dmbl', 1), ('fertlizers', 1), ('kenya', 1), ('fertilizer', 1)]",['ruiru'],2.0,ruiru ltd
11,"[('*', 1)]",['*'],1.0,*
12,"[('hcx', 1)]",['hcx'],1.0,hcx
13,"[('ggg', 1), ('fggg', 1)]","['ggg', 'fggg']",1.0,ggg
14,"[('g.i', 1)]",['g.i'],1.0,g.i
15,"[('c&g', 1)]",['c&g'],1.0,c&g
16,"[('joj', 1)]",['joj'],1.0,joj
17,"[('concept', 4), ('concepts', 3), ('ltd', 2), ('e.a', 1), ('africa', 1), ('limited', 1)]","['concept', 'concepts']",2.0,concept concepts
18,"[('0', 1)]",['0'],1.0,0
19,"[('dbn', 1)]",['dbn'],1.0,dbn
20,"[('boresha', 3), ('bakers', 1), ('feeds', 1)]",['boresha'],2.0,boresha bakers
21,"[('loxal', 1)]","['loxal', 'loal']",1.0,loxal
22,"[('dghh', 1), ('dgh', 1)]","['dghh', 'dgh']",1.0,dghh
23,"[('befa', 1), ('bea', 1), ('ltd', 1)]","['befa', 'bea']",2.0,befa bea
24,"[('k+s', 1)]",['k+s'],1.0,k+s
25,"[('interchemie', 6), ('werken', 4), ('inter', 3), ('holland', 3), ('ltd', 3), ('interchem', 3), ('intercheme', 2), ('interchemi', 2), ('interchemia', 2), ('interhemie', 1), ('chemie', 1), ('initercheme', 1), ('interchemei', 1), ('chemi', 1), ('unterchemie', 1), ('lnterchemie', 1), ('interchemie.', 1), ('hollad', 1), ('intechemie', 1), ('chem', 1), ('limited', 1), ('interchmie', 1), ('ltd.', 1)]","['interchemie', 'interchemie.', 'inter-chemie', 'interhemie', 'interchmie', 'interchemi', 'intercheme', 'intechemie', 'unterchemie', 'lnterchemie', 'interchemia', 'interchemei', 'inter chemi', 'initercheme', 'interchem', 'inter-chem']",2.0,interchemie werken
26,"[('mavuno', 5), ('bora', 1), ('smart', 1), ('company', 1), ('feeds', 1)]",['mavuno'],2.0,mavuno bora
27,"[('fino', 4), ('ject', 2), ('', 1), ('jet', 1)]","['fino-', 'fino']",2.0,fino ject
28,"[('doctor', 3), ('pharm', 1), ('pharma', 1)]",['doctor'],2.0,doctor pharm
